comentarios,total_abandonos,total_comentarios,tasa_abandono
absolutamente implicado en su formacion,0,31,0.0
accede a la plataforma con frecuencia normal,4,34,0.11764705882352941
acceso esporadico a biblioteca,10,32,0.3125
actitud correcta en clase,11,34,0.3235294117647059
actitud desafiante en algunas sesiones practicas,14,14,1.0
actitud muy positiva frente a desafios,0,37,0.0
actitud pasiva pero correcta,9,41,0.21951219512195122
actua como mentor para companeros con dificultades,0,28,0.0
acude a clases con normalidad,7,35,0.2
acumula un historial de notas muy bajas preocupante,6,7,0.8571428571428571
alumno brillante con un gran futuro por delante,0,31,0.0
aplica conceptos de otras areas de forma creativa un perfil muy interdisciplinar,1,36,0.027777777777777776
aporta buen ambiente al grupo,0,32,0.0
aporta cohesion al grupo de trabajo,0,21,0.0
aporta datos en cuestionarios oficiales,12,39,0.3076923076923077
aporta ideas valiosas en el aula,6,418,0.014354066985645933
aporta ideas valiosas en el grupo de trabajo,2,258,0.007751937984496124
aporta ideas valiosas en los foros de moodle,3,346,0.008670520231213872
aporta recursos extra al grupo,0,37,0.0
aporta respuestas de calidad a companeros,0,34,0.0
aporta una perspectiva fresca y novedosa a los proyectos,0,34,0.0
aprovecha bien las tutorias con docentes,0,27,0.0
argumenta sus ideas con una logica impecable y bien fundamentada,0,32,0.0
asiste a tutorias puntualmente,6,39,0.15384615384615385
asiste sin mas,5,32,0.15625
asistencia a parciales correcta,5,37,0.13513513513513514
asistencia constante a clases,24,120,0.2
asistencia constante a seminarios,33,179,0.18435754189944134
asistencia constante a tutorias,18,91,0.1978021978021978
asistencia correcta a clases,31,96,0.3229166666666667
asistencia correcta a seminarios,48,216,0.2222222222222222
asistencia correcta a tutorias,7,34,0.20588235294117646
asistencia puntual a actividades deportivas,11,46,0.2391304347826087
asistencia regular,9,35,0.2571428571428571
asistencia regular a clases,47,174,0.27011494252873564
asistencia regular a seminarios,35,151,0.23178807947019867
asistencia regular a tutorias,38,170,0.2235294117647059
asistencia regular y puntualidad,1,38,0.02631578947368421
atencion basica en sesiones de apoyo,8,30,0.26666666666666666
atraso acumulado en practicas obligatorias,10,11,0.9090909090909091
aunque asiste su participacion es nula y parece ausente,11,12,0.9166666666666666
ausencia de planificacion academica,11,13,0.8461538461538461
ausencias injustificadas en clase,155,159,0.9748427672955975
ausencias injustificadas en practicas,92,98,0.9387755102040817
ausencias injustificadas en seminarios,59,61,0.9672131147540983
ausencias injustificadas en tutorias,67,70,0.9571428571428572
ausencias reiteradas en tutorias,7,7,1.0
ayuda a otros estudiantes de forma desinteresada y proactiva,1,35,0.02857142857142857
bajo nivel de uso de la plataforma moodle,10,11,0.9090909090909091
bajo rendimiento en asignaturas basicas,91,97,0.9381443298969072
bajo rendimiento en fisica,116,119,0.9747899159663865
bajo rendimiento en matematicas,65,71,0.9154929577464789
bajo rendimiento en troncales,141,149,0.9463087248322147
bloqueo con matematicas basicas,11,11,1.0
buen trato hacia docentes y companeros,1,32,0.03125
busca activamente practicas y oportunidades profesionales,0,36,0.0
calidad de redaccion excepcional en sus informes da gusto leerlos,0,30,0.0
calificaciones cada vez mas bajas,13,15,0.8666666666666667
calificaciones dentro de lo esperado,7,41,0.17073170731707318
calificaciones sobresalientes en practicas,0,31,0.0
capacidad analitica envidiable,2,37,0.05405405405405406
capacidad de liderazgo observada en proyectos,0,35,0.0
carece de la base necesaria para la asignatura se recomienda refuerzo,9,9,1.0
casi sin actividad en foros de la materia,10,10,1.0
casi sin creditos aprobados,14,14,1.0
colabora con encuestas basicas,8,30,0.26666666666666666
colabora en actividades extracurriculares,1,26,0.038461538461538464
colabora en todas las actividades,0,24,0.0
comportamiento aceptable en el aula,93,394,0.23604060913705585
comportamiento adecuado,5,39,0.1282051282051282
comportamiento adecuado en el aula,96,359,0.26740947075208915
comportamiento correcto en el aula,64,257,0.2490272373540856
compromiso en la asistencia,0,34,0.0
compromiso mantenido en todo el curso,1,24,0.041666666666666664
comunicacion casi inexistente con el tutor asignado,8,9,0.8888888888888888
comunicacion limitada con docentes,9,36,0.25
conducta acorde al reglamento,13,48,0.2708333333333333
conducta pasiva en practicas obligatorias,10,10,1.0
confiesa no dedicarle tiempo de estudio en casa,10,11,0.9090909090909091
